player_game_id,player_id,game_date,points
1,1,2025-01-01,18
2,1,2025-01-02,22
3,1,2025-01-03,30
4,1,2025-01-04,28
5,1,2025-01-05,34
6,1,2025-01-06,26
7,1,2025-01-07,29
8,1,2025-01-08,31
9,1,2025-01-09,27
10,1,2025-01-10,35
11,1,2025-01-11,33
12,1,2025-01-12,30
13,2,2025-01-01,19
14,2,2025-01-02,21
15,2,2025-01-03,24
16,2,2025-01-04,27
17,2,2025-01-05,31
18,2,2025-01-06,29
19,2,2025-01-07,26
20,2,2025-01-08,25
21,2,2025-01-09,30
22,2,2025-01-10,28
23,2,2025-01-11,27
24,2,2025-01-12,29
25,3,2025-01-01,17
26,3,2025-01-02,20
27,3,2025-01-03,22
28,3,2025-01-04,30
29,3,2025-01-05,28
30,3,2025-01-06,25
31,3,2025-01-07,29
32,3,2025-01-08,27
33,3,2025-01-09,26
34,3,2025-01-10,31
35,3,2025-01-11,24
36,3,2025-01-12,28
37,4,2025-01-01,16
38,4,2025-01-02,19
39,4,2025-01-03,21
40,4,2025-01-04,26
41,4,2025-01-05,25
42,4,2025-01-06,30
43,4,2025-01-07,27
44,4,2025-01-08,24
45,4,2025-01-09,29
46,4,2025-01-10,23
47,4,2025-01-11,28
48,4,2025-01-12,26
49,5,2025-01-01,15
50,5,2025-01-02,18
51,5,2025-01-03,20
52,5,2025-01-04,22
53,5,2025-01-05,27
54,5,2025-01-06,24
55,5,2025-01-07,26
56,5,2025-01-08,25
57,5,2025-01-09,23
58,5,2025-01-10,28
59,5,2025-01-11,21
60,5,2025-01-12,24
