season_year,season_type,player,nba_poss
2024-25,playoffs,Alec Burks,27
2024-25,playoffs,Isaiah Stewart,40
2024-25,playoffs,Jett Howard,9
2024-25,playoffs,Jock Landale,11
2024-25,playoffs,Maxi Kleber,10
2024-25,playoffs,P.J. Tucker,9
2024-25,playoffs,Patty Mills,8
2024-25,playoffs,Xavier Tillman,16
2024-25,regular_season,Alondes Williams,7
2024-25,regular_season,Isaiah Mobley,41
2024-25,regular_season,Jahlil Okafor,8
2024-25,regular_season,James Wiseman,11
2024-25,regular_season,Riley Minix,15
2024-25,regular_season,Ron Harper Jr.,34
2024-25,regular_season,Terence Davis,15
2024-25,regular_season,Tolu Smith,46
2024-25,play_in,Anthony Black,54
2024-25,play_in,Brandin Podziemski,62
2024-25,play_in,Buddy Hield,27
2024-25,play_in,Caleb Houstan,24
2024-25,play_in,Coby White,86
2024-25,play_in,Cole Anthony,40
2024-25,play_in,Cory Joseph,36
2024-25,play_in,Dalen Terry,27
2024-25,play_in,DeMar DeRozan,85
2024-25,play_in,Devin Carter,47
2024-25,play_in,Domantas Sabonis,72
2024-25,play_in,Dominick Barlow,28
2024-25,play_in,Doug McDermott,12
2024-25,play_in,Draymond Green,61
2024-25,play_in,Dwight Powell,5
2024-25,play_in,Franz Wagner,66
2024-25,play_in,GG Jackson,5
2024-25,play_in,Gary Harris,26
2024-25,play_in,Gary Payton II,40
2024-25,play_in,Goga Bitadze,8
2024-25,play_in,Gui Santos,13
2024-25,play_in,Isaac Jones,4
2024-25,play_in,Jaden Hardy,5
2024-25,play_in,Jaime Jaquez Jr.,4
2024-25,play_in,Jalen Smith,6
2024-25,play_in,Jay Huff,5
2024-25,play_in,Jett Howard,8
2024-25,play_in,Jimmy Butler III,83
2024-25,play_in,Jonas Valančiūnas,22
2024-25,play_in,Jonathan Isaac,35
2024-25,play_in,Josh Giddey,82
2024-25,play_in,Julian Phillips,3
2024-25,play_in,Keegan Murray,73
2024-25,play_in,Kentavious Caldwell-Pope,50
2024-25,play_in,Keon Ellis,34
2024-25,play_in,Keshad Johnson,4
2024-25,play_in,Kevin Huerter,67
2024-25,play_in,Kevon Looney,22
2024-25,play_in,Lamar Stevens,5
2024-25,play_in,Luke Kennard,36
2024-25,play_in,Markelle Fultz,4
2024-25,play_in,Marvin Bagley III,32
2024-25,play_in,Matas Buzelis,71
2024-25,play_in,Moses Moody,67
2024-25,play_in,Nikola Vučević,78
2024-25,play_in,Paolo Banchero,66
2024-25,play_in,Patrick Williams,31
2024-25,play_in,Quinten Post,45
2024-25,play_in,Stephen Curry,79
2024-25,play_in,Talen Horton-Tucker,31
2024-25,play_in,Terence Davis,4
2024-25,play_in,Trey Lyles,37
2024-25,play_in,Tristan da Silva,8
2024-25,play_in,Wendell Carter Jr.,51
2024-25,play_in,Zach Collins,11
2024-25,play_in,Zach LaVine,87
