season_start_year,season_year,game_id,game_datetime_utc,schedule_key
2022,2022-23,0012200002,2022-10-01T02:00:00Z,raw/scheduleleaguev2/seasongames/season=2022/season_games.parquet
2022,2022-23,0012200008,2022-10-03T02:00:00Z,raw/scheduleleaguev2/seasongames/season=2022/season_games.parquet
2022,2022-23,0012200025,2022-10-07T00:00:00Z,raw/scheduleleaguev2/seasongames/season=2022/season_games.parquet
2022,2022-23,0012200027,2022-10-07T02:00:00Z,raw/scheduleleaguev2/seasongames/season=2022/season_games.parquet
2022,2022-23,0012200038,2022-10-09T23:00:00Z,raw/scheduleleaguev2/seasongames/season=2022/season_games.parquet
2023,2023-24,0012300013,2023-10-10T18:45:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2023,2023-24,0012300014,2023-10-10T23:00:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2023,2023-24,0012300022,2023-10-11T02:00:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2023,2023-24,0012300029,2023-10-12T23:30:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2023,2023-24,0012300040,2023-10-15T22:00:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2023,2023-24,0012300045,2023-10-16T23:00:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2023,2023-24,0012300048,2023-10-17T01:00:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2023,2023-24,0012300054,2023-10-18T00:00:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2023,2023-24,0012300067,2023-10-20T23:00:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2024,2024-25,0012400002,2024-10-05T01:00:00Z,raw/scheduleleaguev2/seasongames/season=2024/season_games.parquet
2024,2024-25,0012400011,2024-10-07T23:00:00Z,raw/scheduleleaguev2/seasongames/season=2024/season_games.parquet
2024,2024-25,0012400029,2024-10-11T00:00:00Z,raw/scheduleleaguev2/seasongames/season=2024/season_games.parquet
2024,2024-25,0012400060,2024-10-17T02:00:00Z,raw/scheduleleaguev2/seasongames/season=2024/season_games.parquet
2020,2020-21,0032000001,2021-03-08T01:00:00Z,raw/scheduleleaguev2/seasongames/season=2020/season_games.parquet
2021,2021-22,0032100001,2022-02-21T01:00:00Z,raw/scheduleleaguev2/seasongames/season=2021/season_games.parquet
2021,2021-22,0032100004,2022-02-19T02:00:00Z,raw/scheduleleaguev2/seasongames/season=2021/season_games.parquet
2021,2021-22,0032100005,2022-02-19T02:30:00Z,raw/scheduleleaguev2/seasongames/season=2021/season_games.parquet
2021,2021-22,0032100006,2022-02-19T03:00:00Z,raw/scheduleleaguev2/seasongames/season=2021/season_games.parquet
2022,2022-23,0032200001,2023-02-20T00:30:00Z,raw/scheduleleaguev2/seasongames/season=2022/season_games.parquet
2022,2022-23,0032200004,2023-02-18T02:00:00Z,raw/scheduleleaguev2/seasongames/season=2022/season_games.parquet
2022,2022-23,0032200005,2023-02-18T02:30:00Z,raw/scheduleleaguev2/seasongames/season=2022/season_games.parquet
2022,2022-23,0032200006,2023-02-18T03:00:00Z,raw/scheduleleaguev2/seasongames/season=2022/season_games.parquet
2023,2023-24,0032300001,2024-02-19T01:00:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2023,2023-24,0032300004,2024-02-17T02:00:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2023,2023-24,0032300005,2024-02-17T02:30:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2023,2023-24,0032300006,2024-02-17T03:00:00Z,raw/scheduleleaguev2/seasongames/season=2023/season_games.parquet
2024,2024-25,0032400004,2025-02-15T02:15:00Z,raw/scheduleleaguev2/seasongames/season=2024/season_games.parquet
2024,2024-25,0032400005,2025-02-15T02:55:00Z,raw/scheduleleaguev2/seasongames/season=2024/season_games.parquet
2024,2024-25,0032400006,2025-02-15T03:35:00Z,raw/scheduleleaguev2/seasongames/season=2024/season_games.parquet
2024,2024-25,0032400011,2025-02-17T01:20:00Z,raw/scheduleleaguev2/seasongames/season=2024/season_games.parquet
2024,2024-25,0032400021,2025-02-17T02:10:00Z,raw/scheduleleaguev2/seasongames/season=2024/season_games.parquet
2024,2024-25,0032400031,2025-02-17T03:00:00Z,raw/scheduleleaguev2/seasongames/season=2024/season_games.parquet
